dcode,dname,month_year,value
1050,บางบอน,feb_61,6465.61
1025,บางพลัด,feb_61,4477.7
1004,บางรัก,feb_61,4534.55
1027,บึงกุ่ม,feb_61,5879.25
1007,ปทุมวัน,feb_61,8761.87
1032,ประเวศ,feb_61,7921.35
1008,ป้อมปราบศัตรูพ่าย,feb_61,2493.67
1014,พญาไท,feb_61,4827.6
1009,พระโขนง,feb_61,4040.16
1001,พระนคร,feb_61,5744.13
1022,ภาษีเจริญ,feb_61,4586.15
1010,มีนบุรี,feb_61,5170.24
1012,ยานนาวา,feb_61,5342.04
1037,ราชเทวี,feb_61,6164.82
1024,ราษฎร์บูรณะ,feb_61,3394.47
1011,ลาดกระบัง,feb_61,8091
1038,ลาดพร้าว,feb_61,6043.82
1045,วังทองหลาง,feb_61,6512.04
1039,วัฒนา,feb_61,7935.29
1034,สวนหลวง,feb_61,6354.12
1044,สะพานสูง,feb_61,3461.1
1013,สัมพันธวงศ์,feb_61,1723.51
1028,สาทร,feb_61,4679.32
1042,สายไหม,feb_61,6555.19
1023,หนองแขม,feb_61,5024.72
1003,หนองจอก,feb_61,3662.99
1041,หลักสี่,feb_61,5359.58
1017,ห้วยขวาง,feb_61,6339.47
1000,อื่นๆ,feb_61,17504.83
1033,คลองเตย,mar_61,9397.08
1018,คลองสาน,mar_61,3967.8
1046,คลองสามวา,mar_61,6562.01
1043,คันนายาว,mar_61,4600.69
1030,จตุจักร,mar_61,13805.8
1035,จอมทอง,mar_61,6527.37
1036,ดอนเมือง,mar_61,6741.4
1026,ดินแดง,mar_61,9174.8
1002,ดุสิต,mar_61,5439.65
1019,ตลิ่งชัน,mar_61,4726.93
1048,ทวีวัฒนา,mar_61,3505.1
1049,ทุ่งครุ,mar_61,4556.64
1015,ธนบุรี,mar_61,5143.32
1020,บางกอกน้อย,mar_61,5349.82
1016,บางกอกใหญ่,mar_61,2496.55
1006,บางกะปิ,mar_61,10744.5
1021,บางขุนเทียน,mar_61,10376.9
1005,บางเขน,mar_61,9668.08
1031,บางคอแหลม,mar_61,4305.64
1040,บางแค,mar_61,8911.03
1029,บางซื่อ,mar_61,5035.64
1047,บางนา,mar_61,7145.44
1050,บางบอน,mar_61,7022.24
1025,บางพลัด,mar_61,4869.6
1004,บางรัก,mar_61,4948.09
1027,บึงกุ่ม,mar_61,6441.07
1007,ปทุมวัน,mar_61,9530.62
1032,ประเวศ,mar_61,8823.81
1008,ป้อมปราบศัตรูพ่าย,mar_61,2591.2
1014,พญาไท,mar_61,5492.27
1009,พระโขนง,mar_61,4450.39
1001,พระนคร,mar_61,5996.31
1022,ภาษีเจริญ,mar_61,5248.31
1010,มีนบุรี,mar_61,5787.99
1012,ยานนาวา,mar_61,5747.1
1037,ราชเทวี,mar_61,6813.36
1024,ราษฎร์บูรณะ,mar_61,3702.9
1011,ลาดกระบัง,mar_61,9146.79
1038,ลาดพร้าว,mar_61,6643.2
1045,วังทองหลาง,mar_61,7331.87
1039,วัฒนา,mar_61,9015.92
1034,สวนหลวง,mar_61,7083.1
1044,สะพานสูง,mar_61,3929.24
1013,สัมพันธวงศ์,mar_61,1711.08
1028,สาทร,mar_61,5009.03
1042,สายไหม,mar_61,7441.21
1023,หนองแขม,mar_61,5684.9
1003,หนองจอก,mar_61,4135.21
1041,หลักสี่,mar_61,6034.83
1017,ห้วยขวาง,mar_61,7240.8
1000,อื่นๆ,mar_61,17906.48
1033,คลองเตย,apr_61,8712.35
1018,คลองสาน,apr_61,3725.06
1046,คลองสามวา,apr_61,5635.02
1043,คันนายาว,apr_61,4237.22
1030,จตุจักร,apr_61,12403.8
1035,จอมทอง,apr_61,6200.64
1036,ดอนเมือง,apr_61,6297.95
1026,ดินแดง,apr_61,8569.7
1002,ดุสิต,apr_61,4859.39
1019,ตลิ่งชัน,apr_61,4524.61
1048,ทวีวัฒนา,apr_61,3122.74
1049,ทุ่งครุ,apr_61,4327.12
1015,ธนบุรี,apr_61,4911.99
1020,บางกอกน้อย,apr_61,4998.14
1016,บางกอกใหญ่,apr_61,2297.14
1006,บางกะปิ,apr_61,9989.96
1021,บางขุนเทียน,apr_61,9947.26
1005,บางเขน,apr_61,8955.44
1031,บางคอแหลม,apr_61,4047.56
1040,บางแค,apr_61,8297.84
1029,บางซื่อ,apr_61,4861.2
1047,บางนา,apr_61,6600.62
1050,บางบอน,apr_61,6597.85
1025,บางพลัด,apr_61,4704.84
1004,บางรัก,apr_61,4352.92
1027,บึงกุ่ม,apr_61,5968.32
1007,ปทุมวัน,apr_61,8985.14
1032,ประเวศ,apr_61,8472.81
1008,ป้อมปราบศัตรูพ่าย,apr_61,2352.31
1014,พญาไท,apr_61,5042.16
1009,พระโขนง,apr_61,4252.77
1001,พระนคร,apr_61,5853.09
1022,ภาษีเจริญ,apr_61,4683.46
1010,มีนบุรี,apr_61,5546.15
1012,ยานนาวา,apr_61,5429.96
1037,ราชเทวี,apr_61,6552.85
1024,ราษฎร์บูรณะ,apr_61,3619.44
1011,ลาดกระบัง,apr_61,8552.31
1038,ลาดพร้าว,apr_61,6291.32
1045,วังทองหลาง,apr_61,6805.94
1039,วัฒนา,apr_61,8399.55
1034,สวนหลวง,apr_61,6920.39
1044,สะพานสูง,apr_61,3751.7
1013,สัมพันธวงศ์,apr_61,1548.76
1028,สาทร,apr_61,4735.55
1042,สายไหม,apr_61,6997.78
1023,หนองแขม,apr_61,4998.62
1003,หนองจอก,apr_61,4023.82
1041,หลักสี่,apr_61,5452.7
1017,ห้วยขวาง,apr_61,6778.21
1000,อื่นๆ,apr_61,15837.7
1033,คลองเตย,may_61,9585.28
1018,คลองสาน,may_61,4045.37
1046,คลองสามวา,may_61,6388.36
1043,คันนายาว,may_61,5109.66
1030,จตุจักร,may_61,14280.4
1035,จอมทอง,may_61,7029.14
1036,ดอนเมือง,may_61,7098.63
1026,ดินแดง,may_61,9490.48
1002,ดุสิต,may_61,5649.7
1019,ตลิ่งชัน,may_61,5099.72
1048,ทวีวัฒนา,may_61,3669.53
1049,ทุ่งครุ,may_61,4701.27
1015,ธนบุรี,may_61,5277.54
1020,บางกอกน้อย,may_61,5567.5
1016,บางกอกใหญ่,may_61,2578.43
1006,บางกะปิ,may_61,11089.7
1021,บางขุนเทียน,may_61,11028.5
1005,บางเขน,may_61,10302.5
1031,บางคอแหลม,may_61,4449.02
1040,บางแค,may_61,9489.45
1029,บางซื่อ,may_61,5603.5
1047,บางนา,may_61,7384.71
1050,บางบอน,may_61,7399.51
1025,บางพลัด,may_61,5200.05
1004,บางรัก,may_61,4897.93
1027,บึงกุ่ม,may_61,6839.91
1007,ปทุมวัน,may_61,9570.61
1032,ประเวศ,may_61,9779.03
1008,ป้อมปราบศัตรูพ่าย,may_61,2600.79
1014,พญาไท,may_61,5678.83
1009,พระโขนง,may_61,4802.6
1001,พระนคร,may_61,6193.28
1022,ภาษีเจริญ,may_61,5231.48
1010,มีนบุรี,may_61,6321.72
1012,ยานนาวา,may_61,6286.38
1037,ราชเทวี,may_61,7166.17
1024,ราษฎร์บูรณะ,may_61,3890.15
1011,ลาดกระบัง,may_61,9977.51
1038,ลาดพร้าว,may_61,7015.59
1045,วังทองหลาง,may_61,7595.19
1039,วัฒนา,may_61,9048.93
1034,สวนหลวง,may_61,7775.62
1044,สะพานสูง,may_61,4200.5
1013,สัมพันธวงศ์,may_61,1705.14
1028,สาทร,may_61,5267.05
1042,สายไหม,may_61,8052.39
1023,หนองแขม,may_61,5698.06
1003,หนองจอก,may_61,4572.32
1041,หลักสี่,may_61,6223.68
1017,ห้วยขวาง,may_61,7294.57
1000,อื่นๆ,may_61,19220.53
1033,คลองเตย,jun_61,9290.67
1018,คลองสาน,jun_61,3797.35
